datetime,open,high,low,close,volume
2020-01-22 07:00:00,1.10824,1.10856,1.10821,1.10846,426
2020-01-22 08:00:00,1.10845,1.10862,1.10809,1.10828,830
2020-01-22 09:00:00,1.10829,1.10861,1.10754,1.10859,1586
2020-01-22 10:00:00,1.1086,1.1086,1.1075,1.10814,1763
2020-01-22 11:00:00,1.10815,1.10927,1.1078,1.10908,1652
2020-01-22 12:00:00,1.10908,1.10948,1.1086,1.1086,1380
2020-01-22 13:00:00,1.1086,1.1088,1.1078,1.10788,1776
2020-01-22 14:00:00,1.10787,1.10851,1.10772,1.10836,1603
2020-01-22 15:00:00,1.10836,1.10912,1.10823,1.10898,1995
2020-01-22 16:00:00,1.10898,1.10984,1.10726,1.10735,2602
2020-01-22 17:00:00,1.10731,1.10782,1.10702,1.10754,3554
2020-01-22 18:00:00,1.10752,1.10912,1.10748,1.10846,2412
2020-01-22 19:00:00,1.10846,1.109,1.10839,1.10856,991
2020-01-22 20:00:00,1.10856,1.10872,1.1084,1.1087,737
2020-01-22 21:00:00,1.1087,1.10934,1.10866,1.10918,997
2020-01-22 22:00:00,1.10918,1.1093,1.10894,1.10927,927
2020-01-22 23:00:00,1.10926,1.10952,1.10912,1.10943,529
2020-01-23 00:00:00,1.10927,1.10944,1.10917,1.10928,306
2020-01-23 01:00:00,1.10931,1.10968,1.10926,1.10958,611
2020-01-23 02:00:00,1.10958,1.10995,1.10798,1.10872,1337
2020-01-23 03:00:00,1.10874,1.10898,1.10854,1.10894,1269
2020-01-23 04:00:00,1.10894,1.10914,1.10874,1.10895,614
2020-01-23 05:00:00,1.10895,1.10898,1.10824,1.10828,564
2020-01-23 06:00:00,1.10828,1.10856,1.1081,1.10852,494
2020-01-23 07:00:00,1.10852,1.10854,1.10824,1.1083,577
2020-01-23 08:00:00,1.10832,1.10852,1.1081,1.10851,688
2020-01-23 09:00:00,1.10849,1.10922,1.10849,1.10892,1353
2020-01-23 10:00:00,1.10892,1.10897,1.10822,1.10838,1977
2020-01-23 11:00:00,1.10838,1.10868,1.1079,1.10843,1548
2020-01-23 12:00:00,1.10844,1.1092,1.10822,1.10912,1424
2020-01-23 13:00:00,1.10912,1.10948,1.10874,1.10904,1136
2020-01-23 14:00:00,1.10904,1.10926,1.10844,1.10844,1373
2020-01-23 15:00:00,1.10845,1.11087,1.10802,1.10866,5335
2020-01-23 16:00:00,1.10866,1.10904,1.10598,1.10694,5895
2020-01-23 17:00:00,1.10694,1.10716,1.10403,1.10462,3672
2020-01-23 18:00:00,1.10462,1.10462,1.10364,1.10411,2841
2020-01-23 19:00:00,1.10411,1.10519,1.10396,1.1051,1584
2020-01-23 20:00:00,1.1051,1.10536,1.10485,1.10496,1473
2020-01-23 21:00:00,1.10494,1.1056,1.10482,1.10553,1082
2020-01-23 22:00:00,1.10554,1.10576,1.10546,1.10556,968
2020-01-23 23:00:00,1.10556,1.10589,1.10554,1.10578,525
2020-01-24 00:00:00,1.10531,1.10573,1.10518,1.10553,416
2020-01-24 01:00:00,1.10553,1.10564,1.10538,1.10554,495
2020-01-24 02:00:00,1.10554,1.10556,1.10507,1.10528,673
2020-01-24 03:00:00,1.10528,1.10554,1.10518,1.10539,474
2020-01-24 04:00:00,1.10539,1.10539,1.10516,1.10528,461
2020-01-24 05:00:00,1.10528,1.10532,1.10496,1.10505,441
2020-01-24 06:00:00,1.10504,1.10518,1.10487,1.10487,423
